name,rating,responses
Oxfordshire County Council,Green,"1.	With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? Yes/No 
Yes

2.	How many vegan hot and cold meal options do you offer: • In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered. 
Oxfordshire County Council do not have a local authority canteen or catering outlet

• In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered. 
Oxfordshire County Council Catering Services provide school meals in 57 Primary schools and do not cater for external events. For our school meal menus, at least one of the three main meal options daily is a Vegan dish. The only other catering provided is for internal Full Council events, for which we engage an external supplier – these menus are 100% plant based

3.	Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?  Yes/No 
Oxfordshire County Council only provide school lunches in 57 Primary schools. All other schools make their own catering arrangements, and the information may be held by individual schools. Schools are public authorities in their own right under the Freedom of Information Act and I would therefore suggest that you contact them directly to request this information. I have provided a link to our website where you can find the contact details of the schools within our area.

 http://www.oxfordshire.gov.uk/cms/schools/query

Leisure centres, Libraries, care homes and any other public buildings will either make their own arrangements or the service will be provided by the district council and this information is not held by Oxfordshire County Council.

4.	Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals? •If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered. •If no, do you have ambitions to take action in this area, eg through setting meat reduction targets? Yes/no, if yes please detail what ambitions you have set out. 
Oxfordshire County Council’s Catering Service has increased the number of plant based / Vegan and vegetarian meal choices on the menu. Of the 45 main courses available in the current menu cycle only 14 contain meat and 14 choices are dairy free.
The service is looking to reduce the meat content of some dishes further, for future menu cycles
"
Barnsley Borough Council,Green,"With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism is a
protected characteristic for the purpose of the Equality Act 2010? Yes
How many vegan hot and cold meal options do you offer:
26 out of 45 options are available for vegan diets (Meal options are available under the Barnsley Schools Catering provision)
In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered. 
We do not have a LA canteen
In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.
We do not offer external event catering
Is a requirement for providing vegan hot and cold meal options included within
the catering procurement contracts you issue for other catering provision for
which you are responsible including schools, leisure centres, care homes,
libraries, and any other public buildings? No
Has your organisation taken any action to reduce meat and dairy consumption in
order to meet environmental goals? Yes
·        If yes, please detail what actions have been taken, e.g., 100% or 50% plantbased food options offered
We offer plant-based options daily
We offer a minimum of 1 day per week meat free
50% of our menu is plant based (The answer is specifically in reference to the schools catering offering. Of the 45 options available over a 3-week cycle within our school sites 26 of these are vegan.)
·        If no, do you have ambitions to take action in this area, e.g. through
setting meat reduction targets? Yes/no, if yes please detail what ambitions
you have set out."
Salford City Council,Green,"1. With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010?
Yes 
2. How many vegan hot and cold meal options do you offer:  
3a. In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. 	
N/A – no canteen
3b. Please also express this as a proportion of the overall number of options offered.?  	
N/A
4a. In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. 
15  
4b. Please also express this as a proportion of the overall number of options offered. 
Over 25%
5. Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings? ?Yes/No  
See detail below re school meals.
Information is not held in relation to care homes, libraries and leisure centres, and these are not operated by the Council.
6.Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?  
With regard to where Citywide (Councils in house school meal provider) provide meals at 56 Primary schools we have instigated the following:
• Introduced one meat free day per three weeks from April 2023, this will do to one meat free day every fortnight in November 2023 and increase to once a week in April 2024. 
• A meat free hot meal option is available every day on all menus and available to all children.
• Worked alongside Pro-Veg to introduce more plant based meals on the menu
• Cooks training undertaken on plant based foods with Pro-Veg trainers. 
• Introduced a theme day in 2022/2023 around climate change which was all plant based and dairy free. 
• Dairy free menu introduced. 
• Placed 5th in the 2022 ProVeg UK Green School Menu League for making school meals more sustainable, the only winner in the Top 5 from the North West.
7. If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered. 
As above
8. If no, do you have ambitions to take action in this area, eg through setting meat reduction targets? Yes/no, if yes please detail what ambitions you have set out.  
N/A
"
Camden,Green,"1. With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? Yes/No
Yes, our decision-making considers the fact that veganism is a protected characteristic.
How many vegan hot and cold meal options do you offer:
For offices - We offer 18 vegan options.
The schools - out of the 15 days in the menu cycle (3 weeks x 5 days per week = 15 days) we have 2 vegan options available on 14 days & 1 vegan options on 1 day. In total the menu offer has 3 daily choices.
2. In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered.
In our canteen there are 43 options: 42% of fresh food in Camden is Vegan options.
3. In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered.
All external catering is on demand, and at cost recovery. There is a minimum 50% of plant based vegetarian food and often 70% ordered. This applies to pick up buffet sandwich options to also hot food options such as Caribbean catering e.g., lunch option would have a 50% option choice on veg / vegan.
4. Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings? Yes/No
Yes, it is a requirement.
5. Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?
Yes, we have acted.
a) If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered.
We procure a central contract for schools to opt in to. Non meat days per week are included in Schools Meal contracts, aligning with Government standards and Public Health Engagement. The School ultimately have the choice if what they want is not the council central contract. We have procured a vended offer in our main office and within the tender were requirements for
Vegan, Halal, Kosher to be on offer
b) If no, do you have ambitions to take action in this area, eg through setting meat reduction targets? Yes/no, if yes please detail what ambitions you have set out.
Please see response above."
Islington,Green,"With regard to the Public Sector Equality Duty, does your decision-making regarding the
provision of food take into account the fact that veganism is a protected characteristic for the
purpose of the Equality Act 2010? Yes/No Decision making isn’t recorded information as stated in your question, however
we can ensure that all dietary requirements are considered as evidenced in our further
responses
How many vegan hot and cold meal options do you offer:
In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please
also express this as a proportion of the overall number of options offered.
Response: We do not have any local canteens.
In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.
Response: Catering for external events are all strictly vegan.
Is a requirement for providing vegan hot and cold meal options included within the catering
procurement contracts you issue for other catering provision for which you are responsible
including schools, leisure centres, care homes, libraries, and any other public buildings?
 Yes/No
Response: LBI is contracted with Caterlink to provide pupil meals in those schools and
children's centres which have opted into the contract. Caterlink is expected to accommodate,
as far as possible, all dietary requirements (including moral, such as vegan) to ensure that
pupils can take up the food offer, including their free school meal entitlement where relevant.
When the termly menus are developed council officers make sure that vegan options are
available as a main meal option for a number of days of the week. The Spring 2023 menu
has a vegan main meal available 2 to 3 times a week dependent on the 3-week cycle. The
caterer also provides a daily option of freshly cooked jacket potatoes with a choice of fillings,
for example baked beans, as an alternative option for pupils.

In addition, the caterer is required to provide two cooked vegetables and five vegetable
salads each day; a variety of fresh fruit on daily offer, specifically 5 different types across the
week and daily availability of freshly cooked bread.
This is also a yes for our Leisure Centres. We do not have any catering contacts with our
libraries.
Has your organisation taken any action to reduce meat and dairy consumption in order to
meet environmental goals?
· If yes, please detail what actions have been taken, e.g., 100% or 50% plant-based food
options offered.
· If no, do you have ambitions to take action in this area, e.g., through setting meat
reduction targets? Yes/no, if yes please detail what ambitions you have set out.
Response: The organisation does not offer or provide any inhouse catering for staff."
Newham,Green,"We do not directly make provision decisions with regard to veganism on the
basis that it is a protected characteristic for the purpose of the Equality Act
2010. However, the Council do ensure that vegan options are available
through all outlets and all catering service arrangements we are responsible
for.
2. At the Newham Dockside (main Council office) restaurant, throughout 3 week
main meal menu cycle we offer:
- 15 vegan dishes out of 45 (33%) (i.e. vegan option available daily)
- Daily vegan options also available with breakfast, coffee shop, deli
counters, salad bars & dessert offers
In regards to external events catering, we offer the following which is taken
from our current Hospitality Brochure:
- Breakfast / Light Refreshments 2 vegan choices out of 5 (44 %)
- Well Being Lunch 1 vegan choices out of 4 (25%)
- 'On the Go' Lunchboxes 1 vegan choices out of 4 (25%)
- Bento Boxes 1 vegan choices out of 4 (25%)
- Finger Buffet Selection 3 vegan choices out of 9 (33%)
- Fork Buffet Selection 1 vegan choices out of 4 (25%)
- Desserts 2 vegan choices out of 4 (50%)
3. It is detailed in proposed contractual agreement for Dockside Diner. It is not
detailed in school tenders currently. Catering supplies procurement contracts
will request vegan products.
4. Yes, we are continuously looking to reduce meat and dairy consumption whilst
looking to extend meat and dairy free options in all outlets and positively
promote plant based options through menu planning and consultation.
In schools we have increased meat free options from 33% to 50% over 3 daily
choices on 3 current week menu cycle. (Vegan options are 40% of vegetarian
/meat free options).
In terms of ingredients, we actively engage with suppliers to source vegan
products/ meat free alternatives. We have a long standing relationships with
solely vegan and vegetarian suppliers and source and make available vegan
diary free alternatives to all."
Richmond upon Thames,Green,"    With regard to the Public Sector Equality Duty, does your
decision-making regarding the provision of food take into account the fact
that veganism is a protected characteristic for the purpose of the
Equality Act 2010? Yes/No

 

Yes. Equalities Impacts Needs Assessments are undertaken to support
decision-making, which covers all protected characteristics including
religion/belief.

 

How many vegan hot and cold meal options do you offer:

 

In your own local authority canteen every day (if you have one)? 0, 1, 2,
3 or more. Please also express this as a proportion of the overall number
of options offered. 

N/A - Richmond Council does not have in-house catering operations (such as
canteens).

 

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.

Please also express this as a proportion of the overall number of options
offered.

Pre-selected catering is offered for the events held, and as such
guests/patrons have the option to submit dietary requirements in advance.
On the occasions of general catering the offer is 50/50.

 

Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings?

Yes – please see specifics for each below.

 

Schools: There are 19 vegan dishes on the 3 week menu cycle. At least 3
vegan options are available per week. This only applies to the primary
schools in Richmond who are part of the central school meals contract.

 

Leisure centres: Places Leisure provide a limited menu of cold vegan
options as part of their commitment to providing a diverse and more
sustainable food choice in their cafes.

 

Care homes: By law, care homes must meet their residents’ nutritional
needs and reasonable requirements regarding religious or cultural
backgrounds. Any resident may request vegan and vegetarian food in a care
home and they should be able to meet their dietary needs. This is an area
we advise is discussed prior to making any placement to ensure dietary
requirements are clearly understood and a meal plan can be agreed.

 

Libraries: N/A - Richmond Council does not have contracts for catering at
libraries.

 

Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals?

Yes

 

·        If yes, please detail what actions have been taken, e.g. 100% or
50% plant-based food options offered.

The environmental impact of our diets is addressed in a number of the
council’s initiatives to reach our environmental goals – notably to be
carbon neutral as an organisation by 2030 and net zero as a borough by
2043. For example, the council is currently working with Richmond CVS and
other voluntary organisations to set up a food partnership in the borough.
The aims of this partnership are to ensure access to affordable, health,
and sustainable food. The sustainability element will focus on local and
low-carbon foods (such as meat free diets). Additionally, the council is
developing a resident’s action pack, which gives advice to residence for
how they can reduce their carbon footprint. Dietary changes, including
reducing meat and dairy consumption, are one of the many areas covered in
this guidance. The council also has Low Carbon Procurement Policy and
Toolkit to explain when and where considerations for addressing and
reducing carbon emissions should be considered during the procurement
process (this can be used when sourcing catering for events, for example).
Through the Councils Leisure Management Contractor Places Leisure, the
leisure centres operator has made available a selection of Plant based
products, which are offered within selected Cafeology branded coffee shops
within leisure centres, and their current sandwich supplier used across
selected Cafeology branded coffee shops has partnered with a company
called My Emissions to start to provide carbon ratings on their product
range.  Dairy free milk alternatives are offered in leisure centre cafes
e.g., almond and soy milks."
Wandsworth,Green,"With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism
is a protected characteristic for the purpose of the Equality Act 2010? 
Yes/No

Yes.  Equalities Impacts Needs Assessments are undertaken to support
decision-making, which covers all protected characteristic including
religion/belief.

How many vegan hot and cold meal options do you offer:  In your own local
authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please
also express this as a proportion of the overall number of options
offered. 

N/A - Wandsworth Council does not have in-house catering operations (such
as canteens).

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or
more.  Please also express this as a proportion of the overall number of
options offered.

Pre-selected catering is offered for the events held, and as such
guests/patrons have the option to submit dietary requirements in advance.
On the occasions of general catering the offer is 50/50.

Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings?

Yes – please see specifics for each below.
 
Schools: The schools catering contract specifies that the mid-day meal
must include at least one plant-based meal.

Leisure centres: Places Leisure provide a limited menu of cold vegan
options as part of their commitment to providing a diverse and more
sustainable food choice in their cafes.

Care homes: By law, care homes must meet their residents’ nutritional
needs and reasonable requirements regarding religious or cultural
backgrounds. Any resident may request vegan and vegetarian food in a care
home and they should be able to meet their dietary needs. This is an area
we advise is discussed prior to making any placement to ensure dietary
requirements are clearly understood and a meal plan can be agreed.

Libraries: N/A - Wandsworth Council does not have contracts for catering
at libraries.

Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals?

Yes.

 

·        If yes, please detail what actions have been taken, e.g. 100% or
50% plant-based food options offered.

The environmental impact of our diets is addressed in a number of the
council’s initiatives to reach our environmental goals – notably to be
carbon neutral as an organisation by 2030 and net zero as a borough by
2043. For example, the council is currently developing a food strategy.
This is in early development, but will include sustainability
considerations; meat and dairy consumption is a key component of this.
Additionally, the council is developing a resident’s action pack, which
gives advice to residence for how they can reduce their carbon footprint.
Dietary changes, including reducing meat and dairy consumption, are one of
the many areas covered in this guidance. The council also has Low Carbon
Procurement Policy and Toolkit to explain when and where considerations
for addressing and reducing carbon emissions should be considered during
the procurement process (this can be used when sourcing catering for
events, for example). Furthermore, the new school meals contract (starting
September 2023) specifies that meat in the composite dish can be reduced
proportionately if adding another protein-based food, such as beans.
Although there is no set target within the schools contract, most schools
are moving to one meat free day a week (for example, Meet free Mondays).
Through the Councils Leisure Management Contractor Places Leisure, the
leisure centres operator has made available a selection of Plant based
products, which are offered within selected Cafeology branded coffee shops
within leisure centres, and their current sandwich supplier used across
selected Cafeology branded coffee shops has partnered with a company
called My Emissions to start to provide carbon ratings on their product
range.  Dairy free milk alternatives are offered in leisure centre cafes
e.g., almond and soy milks."
Westminster,Green,"We have two canteens at our main offices in our local authority and these are at
Lisson Grove and City Hall. The responses are based on the provisions at these two
locations.
1) With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism is a
protected characteristic for the purpose of the Equality Act 2010?
Yes
2) How many vegan hot and cold meal options do you offer:
City Hall: Two hot and two cold. However, this varies daily according to the
menu
Lisson Grove: Daily Breakfast, 5 days per week includes Plant Based
Sausage. Toast bar, Cereal and fruit bar all suitable for Vegan customers.
3) In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or
more. Please also express this as a proportion of the overall number of
options offered. 
City Hall: 52 on average, 20%
Lisson Grove: varies from day to day, but approximately 25%
4) In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options
offered.
City Hall: 50%. However, menus are bespoke as per customer’s requirements
Lisson Grove: Catering for external hospitality is developed bespoke, so if
Vegan is requested, we will build the menu specifically. As an average, if not
requested, 3 options out of 6 might be suitable.
5) Is a requirement for providing vegan hot and cold meal options included within
the catering procurement contracts you issue for other catering provision for
which you are responsible including schools, leisure centres, care homes,
libraries, and any other public buildings?
City Hall: No. Only states vegetarian, not vegan
Lisson Grove: Yes
6) Has your organisation taken any action to reduce meat and dairy consumption
in order to meet environmental goals?
City Hall: Yes
Lisson Grove: Yes
7) If yes, please detail what actions have been taken, e.g. 100% or 50% plantbased food options offered
City Hall: 20%. This is due to minimal customer requirement
Lisson Grove: We have actively tried to move our vegetarian option to
become 50% vegan. We are actually working on moving our lunch offering to
60% vegan over the next 6 months, as well as creating a 100% vegan salad
bar.
8) If no, do you have ambitions to take action in this area, eg through setting
meat reduction targets? Yes/no, if yes please detail what ambitions you have
set out.
Both: N/A"
"Bournemouth, Christchurch and Poole Council",Green,"Yes															
															
															
															
7	(22%)														
															
51	(68%)	we also offer dietary options as required													
															
															
Yes															
															
see below responses from our Seafront and Parks teams															
															
															
															
															
															
															
Yes – range of vegan options increases each year. Milk alternatives available  at all 25 sites. Kiosk at Durley Environmental Hub has a 80% vegan food menu. Also have introduced vegan ice cream and lollies at all sites.  															
No, but 1. We offer great-tasting and attractive vegetarian and vegan options that customers often choose despite not following a vegan diet themselves & 2. Where possible, we source locally-produced products and ingredients to reduce food mileage and improve our carbon impact															
															
															
home (parkcafes.co.uk)															
The Castle Tea Rooms - situated in the grounds of Highcliffe Castle															
The Tea Rooms - Upton Country Park, Poole															
"
